name,filter_object,graphql_object,llm_result,consortium
inrg 2025,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}]}",The cohort consists of participants who are part of the INRG consortium.,INRG
2003-2020 Stage 4 known metastatic site,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2003, ""upperBound"": 2020}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Bone"", ""Bone Marrow"", ""Central Nervous System"", ""Lung"", ""Liver"", ""Skin"", ""Other"", ""Lymph Nodes""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": true, ""selectedValues"": [""Unknown""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2003}}, {""LTE"": {""year_at_disease_phase"": 2020}}]}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""tumor_site"": [""Bone"", ""Bone Marrow"", ""Central Nervous System"", ""Lung"", ""Liver"", ""Skin"", ""Other"", ""Lymph Nodes""]}}, {""AND"": [{""!="": {""tumor_state"": ""Unknown""}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of patients from the INRG consortium who were diagnosed with Stage 4 disease between the years 2003 and 2020. The tumor sites included in the study are Bone, Bone Marrow, Central Nervous System, Lung, Liver, Skin, Other, and Lymph Nodes. Patients with an unknown tumor state are excluded from the cohort.",INRG
1,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}]}",The cohort consists of participants who are part of the INRG consortium.,INRG
INRG MYCN present - test,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""MYCN Amplification""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Present""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Present""]}}], ""path"": ""molecular_analysis""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have undergone molecular analysis, which revealed the presence of MYCN amplification.",INRG
1990-2020 Stage 4 Bone Absent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 1990, ""upperBound"": 2020}, ""disease_phase:Initial Diagnosis"": {""value"": {""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4""]}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Bone""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Metastatic""]}}, ""__type"": ""ANCHORED""}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 1990}}, {""LTE"": {""year_at_disease_phase"": 2020}}]}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}]}]}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""IN"": {""disease_phase"": [""Initial Diagnosis""]}}, {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}, {""IN"": {""tumor_state"": [""Absent""]}}, {""IN"": {""tumor_site"": [""Bone""]}}]}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of patients who are part of the INRG consortium and were diagnosed between 1990 and 2020. At the initial diagnosis, these patients were classified as having Stage 4 metastatic disease. The tumor assessments indicated that the tumor site was the bone, the tumor state was absent, and the tumor classification was metastatic.",INRG
Non_amp_>18mo_ >2010dx,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2011, ""upperBound"": 2019}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""selectedValues"": [""MYCN Amplification""]}, ""tumor_assessments.age_at_tumor_assessment"": {""__type"": ""RANGE"", ""lowerBound"": 547, ""upperBound"": 10480}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2011}}, {""LTE"": {""year_at_disease_phase"": 2019}}]}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""MYCN Amplification""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""AND"": [{""GTE"": {""age_at_tumor_assessment"": 547}}, {""LTE"": {""age_at_tumor_assessment"": 10480}}]}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who are part of the INRG consortium and have been diagnosed with Stage 4 disease. The diagnosis occurred between the years 2011 and 2019. These individuals have a molecular abnormality characterized by MYCN Amplification, but the result of this molecular abnormality is absent. Additionally, the age at tumor assessment for these individuals ranges from 547 days to 10,480 days.",INRG
Disallowed,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""studies.study_id"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""0896""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""study_id"": [""0896""]}}], ""path"": ""studies""}}]}",The cohort consists of participants who are part of the INRG consortium and are involved in study ID 0896. Both criteria must be met for inclusion in the cohort.,INRG
INRG test1,"{""value"": {""race"": {""__type"": ""OPTION"", ""selectedValues"": [""Not Reported"", ""White"", ""Black or African American""]}, ""ethnicity"": {""__type"": ""OPTION"", ""selectedValues"": [""Not Hispanic or Latino"", ""Not Reported""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""ethnicity"": [""Not Hispanic or Latino"", ""Not Reported""]}}, {""IN"": {""race"": [""Not Reported"", ""White"", ""Black or African American""]}}, {""IN"": {""consortium"": [""INRG""]}}]}","The cohort consists of individuals who are part of the INRG consortium. Participants are either of ""Not Reported,"" ""White,"" or ""Black or African American"" race. Additionally, their ethnicity is either ""Not Hispanic or Latino"" or ""Not Reported."" All these criteria must be met for inclusion in the study.",INRG
ANR-SIOPEN-RX,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""studies.study_id"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""SIOPEN HR-NBL1""]}, ""studies.treatment_arm"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""R2""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""study_id"": [""SIOPEN HR-NBL1""]}}, {""IN"": {""treatment_arm"": [""R2""]}}], ""path"": ""studies""}}]}",The cohort consists of participants from the INRG consortium who are part of the SIOPEN HR-NBL1 study and are in the R2 treatment arm.,INRG
All Stage 4,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}], ""path"": ""stagings""}}]}",The cohort consists of individuals who are part of the INRG consortium and have been classified as Stage 4 in their stagings.,INRG
17q normal,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 3""]}, ""year_at_disease_phase"": {""__type"": ""RANGE"", ""lowerBound"": 2006, ""upperBound"": 2023}, ""molecular_analysis.molecular_abnormality"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""17q gain""]}, ""molecular_analysis.molecular_abnormality_result"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""AND"": [{""GTE"": {""year_at_disease_phase"": 2006}}, {""LTE"": {""year_at_disease_phase"": 2023}}]}, {""nested"": {""AND"": [{""IN"": {""molecular_abnormality"": [""17q gain""]}}, {""IN"": {""molecular_abnormality_result"": [""Absent""]}}], ""path"": ""molecular_analysis""}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 3""]}}], ""path"": ""stagings""}}]}","The cohort consists of individuals who are part of the INRG consortium and were diagnosed with Stage 3 disease. The diagnosis occurred between the years 2006 and 2023. Additionally, these individuals have a molecular analysis showing a 17q gain abnormality, but the result of this molecular abnormality is absent.",INRG
Stage 4 liver absent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""stagings.stage"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Stage 4""]}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Liver""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""stage"": [""Stage 4""]}}], ""path"": ""stagings""}}, {""nested"": {""AND"": [{""IN"": {""tumor_site"": [""Liver""]}}, {""IN"": {""tumor_state"": [""Absent""]}}], ""path"": ""tumor_assessments""}}]}","The cohort consists of individuals who are part of the INRG consortium. These individuals have been diagnosed with Stage 4 cancer. Additionally, their tumor assessments indicate that the liver is a site of interest, but no tumor is present there. All these criteria must be met for inclusion in the cohort.",INRG
